//ステージデータ,開始フェーズ,最終フェーズ,クリア数,"それぞれのステージ開始フェーズ参照データは、前のステージ最終フェーズデータ番号+1になります（ステージ1のみPhsDt_00から）【例：ステージ2(StgDt_01)→PhsDt_03, 04, 05, 06, 07, 08を実行】",,,,,,,,,,,,,,
StgDt_00,PhsDt_00,PhsDt_02,3,,,,,,,,,,,,,,,
StgDt_01,PhsDt_03,PhsDt_08,4,,,,,,,,,,,,,,,
StgDt_02,PhsDt_09,PhsDt_18,5,,,,,,,,,,,,,,,
StgDt_03,PhsDt_10,PhsDt_19,6,,,,,,,,,,,,,,,
StgDt_04,PhsDt_20,PhsDt_25,7,,,,,,,,,,,,,,,
StgDt_05,PhsDt_26,PhsDt_30,8,,,,,,,,,,,,,,,
StgDt_06,PhsDt_31,PhsDt_35,9,,,,,,,,,,,,,,,
StgDt_07,PhsDt_36,PhsDt_40,10,,,,,,,,,,,,,,,
StgDt_08,PhsDt_41,PhsDt_45,11,,,,,,,,,,,,,,,
StgDt_09,PhsDt_46,PhsDt_50,12,,,,,,,,,,,,,,,
